,altura,criterio,accuracy,prec_A,prec_E,prec_I,prec_O,prec_U,rcll_A,rcll_E,rcll_I,rcll_O,rcll_U,prec_media,rcll_media
0,3,Gini,0.69452,0.78193,0.56695,0.9278,0.48794,0.79905,0.83999,0.03999,0.92045,0.92886,0.72506,0.71273,0.69087
1,4,Gini,0.83726,0.86524,0.71046,0.9489,0.83622,0.86272,0.83553,0.84349,0.91748,0.84856,0.73954,0.84471,0.83692
2,5,Gini,0.86643,0.87126,0.81011,0.95543,0.87904,0.82454,0.84425,0.88601,0.91983,0.85149,0.83052,0.86808,0.86642
3,6,Gini,0.88333,0.87565,0.86603,0.9391,0.86984,0.87009,0.87195,0.87546,0.93808,0.88313,0.84783,0.88414,0.88329
4,7,Gini,0.90083,0.89739,0.88574,0.94693,0.88152,0.89485,0.87889,0.88926,0.95163,0.91813,0.86668,0.90129,0.90092
5,8,Gini,0.91155,0.89496,0.89425,0.94269,0.91264,0.91325,0.88741,0.89819,0.95503,0.92707,0.89015,0.91156,0.91157
6,9,Gini,0.9181,0.91526,0.89112,0.95422,0.91902,0.90979,0.88525,0.91513,0.95448,0.93356,0.90105,0.91788,0.91789
7,10,Gini,0.91214,0.90026,0.89771,0.94598,0.91046,0.9042,0.87784,0.90428,0.95621,0.92542,0.89609,0.91172,0.91197
8,11,Gini,0.91536,0.90899,0.90037,0.94575,0.91388,0.9064,0.88457,0.90683,0.95913,0.92823,0.89726,0.91508,0.91521
9,12,Gini,0.91405,0.90496,0.90212,0.94683,0.91515,0.89989,0.88578,0.90781,0.9562,0.92535,0.89421,0.91379,0.91387
10,13,Gini,0.91214,0.90453,0.90067,0.93869,0.91155,0.90277,0.88404,0.89823,0.95619,0.92658,0.8948,0.91164,0.91197
11,14,Gini,0.9125,0.90228,0.89894,0.94501,0.9163,0.89825,0.88111,0.91045,0.95321,0.92535,0.89184,0.91216,0.91239
0,3,Entropy,0.81083,0.89735,0.85702,0.88072,0.73878,0.73026,0.70029,0.70405,0.96395,0.87261,0.80518,0.82083,0.80922
1,4,Entropy,0.86476,0.83904,0.81379,0.92671,0.86116,0.89116,0.81946,0.87846,0.94501,0.90462,0.77532,0.86637,0.86457
2,5,Entropy,0.88274,0.86265,0.87129,0.95094,0.84982,0.88851,0.84688,0.87411,0.93794,0.94127,0.81079,0.88464,0.8822
3,6,Entropy,0.90119,0.88933,0.89787,0.95183,0.89017,0.87817,0.87115,0.89034,0.9465,0.92447,0.87208,0.90147,0.90091
4,7,Entropy,0.91286,0.90412,0.90192,0.95813,0.90415,0.8954,0.8813,0.90421,0.958,0.93087,0.88964,0.91274,0.9128
5,8,Entropy,0.91667,0.89662,0.90796,0.95717,0.91416,0.90633,0.88287,0.91219,0.95554,0.93547,0.89674,0.91645,0.91656
6,9,Entropy,0.91321,0.90046,0.91523,0.95175,0.89931,0.89939,0.87396,0.90683,0.95846,0.9325,0.89375,0.91323,0.9131
7,10,Entropy,0.9144,0.90693,0.91268,0.94804,0.90525,0.89861,0.87091,0.91031,0.95956,0.94019,0.89114,0.9143,0.91442
8,11,Entropy,0.91536,0.9019,0.92515,0.94964,0.91125,0.88924,0.87709,0.91017,0.95722,0.92841,0.90366,0.91543,0.91531
9,12,Entropy,0.9144,0.90492,0.91954,0.94427,0.91054,0.89233,0.87498,0.91083,0.95731,0.92671,0.90173,0.91432,0.91431
10,13,Entropy,0.91464,0.90576,0.91727,0.9486,0.90803,0.89333,0.87688,0.91109,0.95786,0.92717,0.89998,0.9146,0.91459
11,14,Entropy,0.9144,0.90458,0.91758,0.94854,0.90935,0.89174,0.87619,0.9136,0.95786,0.92423,0.90008,0.91436,0.91439
